epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.417,0.74767,0.31583,0.00264,0.84796,0.82698,0.85488,0.64596,0.98117,0.58678,0.00415,0.000415076,0.000415076,0.000415076
2,438.444,0.82574,0.37036,0.00302,0.81568,0.81916,0.85547,0.63428,1.00175,0.56074,0.00432,0.000826253,0.000826253,0.000826253
3,631.398,0.89037,0.40959,0.00331,0.83736,0.74266,0.835,0.61689,1.02025,0.5694,0.00442,0.00123193,0.00123193,0.00123193
4,823.49,0.90767,0.42485,0.00337,0.8803,0.79315,0.88077,0.65123,1.03519,0.55125,0.00443,0.00122525,0.00122525,0.00122525
5,1017.96,0.89825,0.4107,0.0033,0.79451,0.83517,0.86911,0.6448,1.007,0.56065,0.00432,0.001217,0.001217,0.001217
6,1211.83,0.88036,0.40183,0.00327,0.81834,0.82042,0.85472,0.64046,0.99891,0.55995,0.00425,0.00120875,0.00120875,0.00120875
7,1405.41,0.88956,0.40807,0.00328,0.83785,0.77717,0.84601,0.62722,1.00743,0.56744,0.00427,0.0012005,0.0012005,0.0012005
8,1599.35,0.86613,0.3903,0.00322,0.80377,0.84826,0.86321,0.6493,0.98654,0.54199,0.00413,0.00119225,0.00119225,0.00119225
9,1793.85,0.86152,0.388,0.00317,0.83552,0.84122,0.87642,0.66215,0.99948,0.55003,0.0042,0.001184,0.001184,0.001184
10,1989.55,0.84534,0.37751,0.0031,0.77831,0.81107,0.82611,0.6246,0.99138,0.58207,0.00416,0.00117575,0.00117575,0.00117575
11,2181.84,0.8398,0.37607,0.00313,0.83481,0.82372,0.86411,0.65896,0.98561,0.55507,0.00417,0.0011675,0.0011675,0.0011675
12,2374.92,0.83927,0.37525,0.00305,0.8461,0.8037,0.86715,0.6585,0.99215,0.54245,0.00419,0.00115925,0.00115925,0.00115925
13,2565.77,0.81065,0.35218,0.00295,0.83253,0.78189,0.87063,0.66338,0.9949,0.56341,0.00415,0.001151,0.001151,0.001151
14,2760.58,0.80703,0.34727,0.0029,0.84163,0.82706,0.88484,0.66522,0.98759,0.53941,0.00413,0.00114275,0.00114275,0.00114275
15,2956.65,0.80221,0.34927,0.00292,0.87734,0.81246,0.88438,0.67361,0.99698,0.57657,0.00417,0.0011345,0.0011345,0.0011345
16,3153.61,0.80365,0.34769,0.0029,0.83416,0.81044,0.8798,0.67748,0.99195,0.5882,0.00413,0.00112625,0.00112625,0.00112625
17,3351.2,0.78209,0.33655,0.00282,0.85192,0.80451,0.88123,0.67163,0.99382,0.55924,0.00418,0.001118,0.001118,0.001118
18,3545.64,0.76859,0.3256,0.00278,0.83436,0.83294,0.8782,0.6754,0.98944,0.57473,0.00413,0.00110975,0.00110975,0.00110975
19,3737.02,0.76452,0.3343,0.00274,0.86377,0.77217,0.85908,0.65389,0.97842,0.58206,0.00408,0.0011015,0.0011015,0.0011015
20,3927.48,0.75476,0.32747,0.00276,0.86963,0.78756,0.87003,0.66822,1.00082,0.58046,0.00421,0.00109325,0.00109325,0.00109325
21,4119.32,0.74378,0.31428,0.00269,0.85443,0.8294,0.88376,0.66258,0.99078,0.60016,0.00412,0.001085,0.001085,0.001085
22,4308.23,0.73923,0.3148,0.00273,0.86556,0.79826,0.87479,0.65987,0.98955,0.59448,0.00412,0.00107675,0.00107675,0.00107675
23,4497.48,0.72903,0.30908,0.00263,0.88701,0.75586,0.86522,0.64296,0.99907,0.62197,0.00418,0.0010685,0.0010685,0.0010685
24,4688.26,0.72308,0.30345,0.00263,0.84445,0.82168,0.88419,0.67008,0.99395,0.61065,0.00421,0.00106025,0.00106025,0.00106025
25,4878.69,0.71375,0.29523,0.00253,0.8003,0.83558,0.87975,0.67807,0.98813,0.59674,0.00413,0.001052,0.001052,0.001052
26,5069.89,0.70602,0.29192,0.00254,0.83904,0.83555,0.88238,0.67829,0.98651,0.60809,0.00413,0.00104375,0.00104375,0.00104375
27,5259.92,0.69168,0.2827,0.00251,0.83975,0.79966,0.85873,0.66634,0.98513,0.61713,0.00415,0.0010355,0.0010355,0.0010355
28,5448.59,0.69637,0.28761,0.00251,0.85095,0.80405,0.85981,0.6687,0.9793,0.60106,0.0041,0.00102725,0.00102725,0.00102725
29,5638.34,0.68523,0.28772,0.00244,0.82422,0.81534,0.86184,0.65994,0.9936,0.61975,0.00415,0.001019,0.001019,0.001019
30,5827.03,0.67454,0.28149,0.00246,0.88206,0.78696,0.87355,0.67237,0.98465,0.62488,0.00412,0.00101075,0.00101075,0.00101075
31,6018.54,0.66748,0.27255,0.00238,0.82597,0.83104,0.87842,0.67129,0.98768,0.62852,0.0041,0.0010025,0.0010025,0.0010025
32,2216.73,0.67639,0.28981,0.00265,0.8001,0.75503,0.81272,0.60707,0.99436,0.63776,0.00438,0.00099425,0.00099425,0.00099425
33,2405.48,0.66664,0.27459,0.00253,0.82831,0.74719,0.84031,0.63714,0.99069,0.63472,0.00433,0.000986,0.000986,0.000986
34,2593.65,0.65707,0.27049,0.00249,0.79827,0.81116,0.85516,0.64349,0.98703,0.6569,0.00426,0.00097775,0.00097775,0.00097775
